"","gemeinde_nummer","gemeinde_name_x","total_2026","gemeinde_name_y","total_2025","diff","pourc_diff","abs_pourc_diff"
"934",196,"Mönchaltorf",24.14,"Mönchaltorf",27.51,3.37,12.25,12.25
"935",200,"Wangen-Brüttisellen",24.14,"Wangen-Brüttisellen",29.16,5.02,17.22,17.22
"936",90,"Niederhasli",24.14,"Niederhasli",27.51,3.37,12.25,12.25
"937",98,"Schleinikon",24.14,"Schleinikon",27.51,3.37,12.25,12.25
"938",131,"Adliswil",24.14,"Adliswil",27.51,3.37,12.25,12.25
"939",297,"Bauma",24.14,"Bauma",27.51,3.37,12.25,12.25
"940",243,"Dietikon",24.14,"Dietikon",27.51,3.37,12.25,12.25
"941",295,"Horgen",24.14,"Horgen",28.72,4.59,15.98,15.98
"942",224,"Pfungen",24.14,"Pfungen",27.51,3.37,12.25,12.25
"943",173,"Hittnau",24.14,"Hittnau",27.51,3.37,12.25,12.25
"944",89,"Niederglatt",24.14,"Niederglatt",27.51,3.37,12.25,12.25
"945",59,"Hochfelden",24.14,"Hochfelden",27.51,3.37,12.25,12.25
"946",141,"Thalwil",24.14,"Thalwil",27.51,3.37,12.25,12.25
"947",10,"Obfelden",24.14,"Obfelden",27.51,3.37,12.25,12.25
"948",7,"Knonau",24.14,"Knonau",27.51,3.37,12.25,12.25
"949",228,"Turbenthal",24.14,"Turbenthal",27.51,3.37,12.25,12.25
"950",178,"Russikon",24.14,"Russikon",27.51,3.37,12.25,12.25
"951",34,"Laufen-Uhwiesen",24.14,"Laufen-Uhwiesen",27.51,3.37,12.25,12.25
"952",211,"Altikon",24.14,"Altikon",27.51,3.37,12.25,12.25
"953",99,"Schöfflisdorf",24.14,"Schöfflisdorf",27.51,3.37,12.25,12.25
"954",218,"Ellikon an der Thur",24.14,"Ellikon an der Thur",27.51,3.37,12.25,12.25
"955",23,"Berg am Irchel",24.14,"Berg am Irchel",27.51,3.37,12.25,12.25
"956",114,"Fischenthal",24.14,"Fischenthal",27.51,3.37,12.25,12.25
"957",223,"Neftenbach",24.14,"Neftenbach",27.51,3.37,12.25,12.25
"958",157,"Oetwil am See",24.14,"Oetwil am See",27.51,3.37,12.25,12.25
"959",221,"Hettlingen",24.14,"Hettlingen",27.51,3.37,12.25,12.25
"960",43,"Volken",24.14,"Volken",27.51,3.37,12.25,12.25
"961",3276,"Wartau",34.73,"Wartau",36.39,1.66,4.56,4.56
"962",4237,"Oberrüti",25.88,"Oberrüti",25.4,-0.48,-1.89,1.89
"963",3379,"Wattwil",28.96,"Wattwil",32.89,3.93,11.95,11.95
"964",1367,"Muotathal",25.02,"Muotathal",27.77,2.75,9.9,9.9
"965",3401,"Degersheim",34.76,"Degersheim",32.87,-1.89,-5.75,5.75
"966",3393,"Lütisburg",34.76,"Lütisburg",32.47,-2.29,-7.05,7.05
"967",3396,"Neckertal",34.76,"Neckertal",35.06,0.3,0.86,0.86
"968",3396,"Neckertal",26,"Neckertal",35.06,9.07,25.87,25.87
"969",3004,"Schwellbrunn",26,"Schwellbrunn",30.07,4.08,13.57,13.57
"970",6459,"Saint-Blaise",33.51,"Saint-Blaise",35.68,2.17,6.08,6.08
"971",6408,"Cortaillod",34.51,"Cortaillod",36.68,2.17,5.92,5.92
"972",6455,"Le Landeron",34.51,"Le Landeron",36.68,2.17,5.92,5.92
"973",6404,"Boudry",34.51,"Boudry",36.68,2.17,5.92,5.92
"974",6416,"Milvignes",34.51,"Milvignes",33.59,-0.92,-2.74,2.74
"975",6205,"Bettmeralp",28.52,"Bettmeralp",28.96,0.45,1.55,1.55
"976",6002,"Brig-Glis",28.52,"Brig-Glis",28.96,0.45,1.55,1.55
"977",6172,"Bister",28.52,"Bister",28.96,0.45,1.55,1.55
"978",6007,"Naters",28.52,"Naters",28.96,0.45,1.55,1.55
"979",6173,"Bitsch",28.52,"Bitsch",28.96,0.45,1.55,1.55
"980",6052,"Bellwald",28.52,"Bellwald",28.96,0.45,1.55,1.55
"981",6203,"Mörel-Filet",28.52,"Mörel-Filet",28.96,0.45,1.55,1.55
"982",6181,"Riederalp",28.52,"Riederalp",28.96,0.45,1.55,1.55
"983",6077,"Goms",28.52,"Goms",27.3,-1.22,-4.47,4.47
"984",6177,"Grengiols",28.52,"Grengiols",28.96,0.45,1.55,1.55
"985",6010,"Termen",28.52,"Termen",28.96,0.45,1.55,1.55
"986",6008,"Ried-Brig",28.52,"Ried-Brig",28.96,0.45,1.55,1.55
"987",412,"Kirchberg (BE)",34.48,"Kirchberg (BE)",33.36,-1.12,-3.36,3.36
"988",3786,"Samedan",28.73,"Samedan",31.8,3.07,9.65,9.65
"989",957,"Sumiswald",34.6,"Sumiswald",34.12,-0.48,-1.41,1.41
"990",861,"Belp",36.31,"Belp",35.03,-1.28,-3.65,3.65
"991",4230,"Buttwil",26.77,"Buttwil",29.83,3.06,10.26,10.26
